id,t,COD,RS,P
1,0,67.90906,36.38695,0.73626
1,5,55.00863,34.91676,22.90489
1,10,55.45208,20.87976,47.51570
1,15,53.79165,10.49709,44.37734
1,20,52.28819,9.055892,37.71811
1,25,55.31006,8.555442,37.20061
1,30,59.75074,8.155203,37.77781
1,35,60.20590,7.902254,38.09805
1,40,58.98814,7.698933,38.47123
1,45,58.37714,7.664306,39.19064
1,50,58.39838,7.229616,40.06521
1,55,58.53406,7.051363,40.79567
1,60,58.56932,6.944346,41.27547
1,70,58.41783,6.892345,41.65422
1,80,58.13250,6.874397,41.56281
1,100,57.93862,6.507418,41.43009
2,0,75.25570,37.25767,9.726086
2,5,59.71894,31.14821,15.188465
2,10,61.03624,16.57641,31.486707
2,15,63.93991,8.631707,47.573213
2,20,60.16477,9.026884,44.079459
2,25,59.97730,8.582144,40.806408
2,30,60.82217,8.614867,41.808500
2,35,61.25951,8.181056,41.938075
2,40,60.03766,7.744760,41.635158
2,45,59.75899,7.388941,41.561979
2,50,59.51107,7.834822,41.675452
2,55,59.79363,6.963294,41.765455
2,60,59.47415,6.656741,41.760985
2,70,59.47086,6.972723,41.615718
2,80,59.51352,6.451245,41.547619
2,100,59.51290,6.369935,42.885806
3,0,77.87950,42.94028,6.022300
3,5,56.35616,41.99778,8.679429
3,10,58.95852,41.15071,7.133600
3,15,59.73772,41.10218,7.595183
3,20,60.64342,39.35621,11.06573
3,25,54.71783,23.99885,19.03232
3,30,56.35355,16.80110,29.45687
3,35,56.37010,8.56652,41.88937
3,40,55.83958,7.790588,45.37900
3,45,55.98818,6.900743,45.81673
3,50,56.62234,7.773009,44.71155
3,55,56.91464,7.453349,43.42493
3,60,57.35296,7.678355,45.53954
3,70,57.59639,7.729188,41.88974
3,80,57.04125,7.207738,42.51959
3,100,55.31482,6.415763,46.58626
